THIS IS UNUSED AND SHOULD BE REMOVED




"STRING_ID";"IETF language tag(s) without dash";"enUS";"frFR";"esES";"deDE";"itIT";"ptBR";"ptPT";"ruRU";"elGR";"trTR";"daDK";"noNB";"svSE";"nlNL";"plPL";"fiFI";"jaJP";"zhCN";"zhTW";"koKR";"csCZ";"huHU";"roRO";"thTH";"bgBG";"heIL";"jakanaJP"

"TILE_STONE";;"Stone";"Roche";;;;;;;;;;;;;;;;;;"돌";
"TILE_STONE_PLURAL";;"Stones";"Roches";;;;;;;;;;;;;;;;;;"돌";
"TILE_DIRT";;"Dirt";"Terre";;;;;;;;;;;;;;;;;;"흙";
"TILE_DIRT_PLURAL";;"Dirts";"Terres";;;;;;;;;;;;;;;;;;"흙";
"TILE_GRASS";;"Grass";"Herbe";;;;;;;;;;;;;;;;;;"잔디";
"TILE_GRAS_PLURALS";;"Grasses";"Herbes";;;;;;;;;;;;;;;;;;"잔디";
"TILE_PLANK_NORMAL";;"Wooden planks";"Planches";;;;;;;;;;;;;;;;;;"나무판자";
"TILE_PLANK_NORMAL_PLURAL";;"Wooden planks";"Planches";;;;;;;;;;;;;;;;;;"나무판자";
"TILE_PLANK_EBONY";;"Ebony planks";"Planches ébène";;;;;;;;;;;;;;;;;;"흑단";
"TILE_PLANK_EBONY_PLURAL";;"Ebony planks";"Planches ébène";;;;;;;;;;;;;;;;;;"흑단";
"TILE_PLANK_BIRCH";;"Birch planks";"Planches bouleau";;;;;;;;;;;;;;;;;;"백단";
"TILE_PLANK_BIRCH_PLURAL";;"Birch planks";"Planches bouleau";;;;;;;;;;;;;;;;;;"백단";
"TILE_PLANK_BLOODROSE";;"Rosewood planks";"Planches palissandre";;;;;;;;;;;;;;;;;;"자단";
"TILE_PLANK_BLOODROSE_PLURAL";;"Rosewood planks";"Planches palissandre";;;;;;;;;;;;;;;;;;"자단";
"TILE_TRUNK_NORMAL";;"Oak log";"Bûche";;;;;;;;;;;;;;;;;;"통나무";
"TILE_TRUNK_NORMAL_PLURAL";;"Oak logs";"Bûches";;;;;;;;;;;;;;;;;;"통나무";
"TILE_TRUNK_EBONY";;"Ebony log";"Bûche ébène";;;;;;;;;;;;;;;;;;"흑단나무";
"TILE_TRUNK_EBONY_PLURAL";;"Ebony logs";"Bûches ébène";;;;;;;;;;;;;;;;;;"흑단나무";
"TILE_TRUNK_BIRCH";;"Birch log";"Bûche bouleau";;;;;;;;;;;;;;;;;;"백단나무";
"TILE_TRUNK_BIRCH_PLURAL";;"Birch logs";"Bûches bouleau";;;;;;;;;;;;;;;;;;"백단나무";
"TILE_TRUNK_BLOODROSE";;"Rosewood log";"Bûche rouge";;;;;;;;;;;;;;;;;;"자단나무";
"TILE_TRUNK_BLOODROSE_PLURAL";;"Rosewood logs";"Bûches rouge";;;;;;;;;;;;;;;;;;"자단나무";
"TILE_STONE_QUARRIED";;"Quarried stone";"Roche extraite";;;;;;;;;;;;;;;;;;"캔 돌";
"TILE_STONE_QUARRIED_PLURAL";;"Quarried stones";"Roches extraites";;;;;;;;;;;;;;;;;;"캔 돌";
"TILE_SAND";;"Sand";"Sable";;;;;;;;;;;;;;;;;;"모래";
"TILE_SAND_PLURAL";;"Sands";"Sables";;;;;;;;;;;;;;;;;;"모래";
"TILE_GRAVEL";;"Gravel";"Gravier";;;;;;;;;;;;;;;;;;"자갈";
"TILE_GRAVEL_PLURAL";;"Gravels";"Graviers";;;;;;;;;;;;;;;;;;"자갈";
"TILE_ORE_MALACHITE";;"Malachite";"Malachite";;;;;;;;;;;;;;;;;;"공작석";
"TILE_ORE_MALACHITES";;"Malachites";"Malachites";;;;;;;;;;;;;;;;;;"공작석";
"TILE_ORE_HEMATITE";;"Hematite";"Hématite";;;;;;;;;;;;;;;;;;"적철석";
"TILE_ORE_HEMATITE_PLURAL";;"Hematites";"Hématites";;;;;;;;;;;;;;;;;;"적철석";
"TILE_ORE_NATURAL_GOLD";;"Natural gold";"Or naturel";;;;;;;;;;;;;;;;;;"자연금";
"TILE_ORE_NATERAL_GOLD_PLURAL";;"Natural golds";"Ors naturels";;;;;;;;;;;;;;;;;;"자연금";
"TILE_ORE_NATURAL_SILVER";;"Natural silver";"Argent naturel";;;;;;;;;;;;;;;;;;"자연은";
"TILE_ORE_NATURAL_SILVER_PLURAL";;"Natural silvers";"Argents naturels";;;;;;;;;;;;;;;;;;"자연은";
"TILE_ORE_RUTILE";;"Rutile";"Rutile";;;;;;;;;;;;;;;;;;"금홍석";
"TILE_ORE_RUTILE_PLURAL";;"Rutiles";"Rutiles";;;;;;;;;;;;;;;;;;"금홍석";
"TILE_ORE_AURICHALCUMITE";;"Aurichalcumite";"Aurichalquemite";;;;;;;;;;;;;;;;;;"진금석";
"TILE_ORE_AURICHALCUMITE_PLURAL";;"Aurichalcumites";"Aurichalquemites";;;;;;;;;;;;;;;;;;"진금석";
"TILE_GEM_RUBY";;"Raw ruby";"Rubis brut";;;;;;;;;;;;;;;;;;"홍옥석";
"TILE_GEM_RUBY_PLURAL";;"Raw rubies";"Rubis bruts";;;;;;;;;;;;;;;;;;"홍옥석";
"TILE_GEM_EMERALD";;"Raw emerald";"Émeraude brute";;;;;;;;;;;;;;;;;;"취옥석";
"TILE_GEM_EMERALD_PLURAL";;"Raw emeralds";"Émeraudes brutes";;;;;;;;;;;;;;;;;;"취옥석";
"TILE_GEM_SAPPHIRE";;"Raw sapphire";"Saphir brut";;;;;;;;;;;;;;;;;;"청옥석";
"TILE_GEM_SAPPHIRE_PLURAL";;"Raw sapphires";"Saphirs bruts";;;;;;;;;;;;;;;;;;"청옥석";
"TILE_GEM_TOPAZ";;"Raw topaz";"Topaze brute";;;;;;;;;;;;;;;;;;"황옥석";
"TILE_GEM_TOPAZ_PLURAL";;"Raw topazes";"Topazes brutes";;;;;;;;;;;;;;;;;;"황옥석";
"TILE_GEM_DIAMOND";;"Raw diamond";"Diamant brut";;;;;;;;;;;;;;;;;;"금강석";
"TILE_GEM_DIAMOND_PLURAL";;"Raw diamonds";"Diamants bruts";;;;;;;;;;;;;;;;;;"금강석";
"TILE_GEM_AMETHYST";;"Raw amethyst";"Améthyste brute";;;;;;;;;;;;;;;;;;"자수정석";
"TILE_GEM_AMETHYST_PLURAL";;"Raw amethysts";"Améthystes brutes";;;;;;;;;;;;;;;;;;"자수정석";
"TILE_SNOW";;"Snow";"Neige";;;;;;;;;;;;;;;;;;"눈";
"TILE_SNOW_PLURAL";;"Snows";"Neiges";;;;;;;;;;;;;;;;;;"눈";
"TILE_ICE_FRAGILE";;"Thin ice";"Glace mance";;;;;;;;;;;;;;;;;;"살얼음";
"TILE_ICE_FRAGILE_PLURAL";;"Thin ices";"Glaces mance";;;;;;;;;;;;;;;;;;"살얼음";
"TILE_ICE_NATURAL";;"Ice";"Glace";;;;;;;;;;;;;;;;;;"얼음";
