# Nameset - Russian
# Data taken from www.behindthename.com

"HEADER";"LatinAlph";"HangulKoKR";"KanaJaJP";"CyrilRuRU";"AlphElGR";"HanziZhCN";"HanziZhTW";"AksonThTH";"AlefbetHeIL"
"NAMESET_RUS_M_001";"Abram";
"NAMESET_RUS_M_002";"Adam";
"NAMESET_RUS_M_003";"Adrian";
"NAMESET_RUS_M_004";"Albert";
"NAMESET_RUS_M_005";"Alexey";
"NAMESET_RUS_M_006";"Anton";
"NAMESET_RUS_M_007";"Artur";
"NAMESET_RUS_M_008";"Benedikt";
"NAMESET_RUS_M_009";"Boris";
"NAMESET_RUS_M_010";"David";
"NAMESET_RUS_M_011";"Denis";
"NAMESET_RUS_M_012";"Dmitriy";
"NAMESET_RUS_M_013";"Eduard";
"NAMESET_RUS_M_014";"Fyodor";
"NAMESET_RUS_M_015";"Genya";
"NAMESET_RUS_M_016";"Grigoriy";
"NAMESET_RUS_M_017";"Igor";
"NAMESET_RUS_M_018";"Iona";
"NAMESET_RUS_M_019";"Iosif";
"NAMESET_RUS_M_020";"Isaak";
"NAMESET_RUS_M_021";"Isidor";
"NAMESET_RUS_M_022";"Ivan";
"NAMESET_RUS_M_023";"Kenya";
"NAMESET_RUS_M_024";"Konstantin";
"NAMESET_RUS_M_025";"Luka";
"NAMESET_RUS_M_026";"Maks";
"NAMESET_RUS_M_027";"Maksim";
"NAMESET_RUS_M_028";"Mark";
"NAMESET_RUS_M_029";"Marlen";
"NAMESET_RUS_M_030";"Martin";
"NAMESET_RUS_M_031";"Maxim";
"NAMESET_RUS_M_032";"Mikhail";
"NAMESET_RUS_M_033";"Milan";
"NAMESET_RUS_M_034";"Nestor";
"NAMESET_RUS_M_035";"Nika";
"NAMESET_RUS_M_036";"Nikita";
"NAMESET_RUS_M_037";"Nikolay";
"NAMESET_RUS_M_038";"Pavel";
"NAMESET_RUS_M_039";"Pyotr";
"NAMESET_RUS_M_040";"Robert";
"NAMESET_RUS_M_041";"Roma";
"NAMESET_RUS_M_042";"Roman";
"NAMESET_RUS_M_043";"Rudolf";
"NAMESET_RUS_M_044";"Sasha";
"NAMESET_RUS_M_045";"Sergey";
"NAMESET_RUS_M_046";"Stas";
"NAMESET_RUS_M_047";"Vadim";
"NAMESET_RUS_M_048";"Valentin";
"NAMESET_RUS_M_049";"Valeriy";
"NAMESET_RUS_M_050";"Viktor";
"NAMESET_RUS_M_051";"Vladimir";
"NAMESET_RUS_M_052";"Yegor";
"NAMESET_RUS_M_053";"Yuriy";
"NAMESET_RUS_M_054";"Zhenya";
