# Nameset - Dwarven (DF)
# Picked randomly from its massive 2195 entries

"HEADER";"LatinAlph";"HangulKoKR";"KanaJaJP";"CyrilRuRU";"AlphElGR";"HanziZhCN";"HanziZhTW";"AksonThTH";"AlefbetHeIL"
"NAMESET_DWARVEN_001";"Asdos";
"NAMESET_DWARVEN_002";"Ngárak";
"NAMESET_DWARVEN_003";"Dùstik";
"NAMESET_DWARVEN_004";"Ish";
"NAMESET_DWARVEN_005";"Reked";
"NAMESET_DWARVEN_006";"Noval";
"NAMESET_DWARVEN_007";"Feb";
"NAMESET_DWARVEN_008";"Ostar";
"NAMESET_DWARVEN_009";"Nicat";
"NAMESET_DWARVEN_010";"Kogan";
"NAMESET_DWARVEN_011";"Alud";
"NAMESET_DWARVEN_012";"Bidok";
"NAMESET_DWARVEN_013";"Thatthil";
"NAMESET_DWARVEN_014";"Olmul";
"NAMESET_DWARVEN_015";"Comníth";
"NAMESET_DWARVEN_016";"Erong";
"NAMESET_DWARVEN_017";"Rërith";
"NAMESET_DWARVEN_018";"Äkim";
"NAMESET_DWARVEN_019";"Öntak";
"NAMESET_DWARVEN_020";"Kitïg";
"NAMESET_DWARVEN_021";"Thoth";
"NAMESET_DWARVEN_022";"Tílgil";
"NAMESET_DWARVEN_023";"Ingish";
"NAMESET_DWARVEN_024";"Alak";
"NAMESET_DWARVEN_025";"Egdoth";
"NAMESET_DWARVEN_026";"Ùst";
"NAMESET_DWARVEN_027";"Rimtar";
"NAMESET_DWARVEN_028";"Bugsud";
"NAMESET_DWARVEN_029";"Selsten";
"NAMESET_DWARVEN_030";"Âtrid";
"NAMESET_DWARVEN_031";"Roder";
"NAMESET_DWARVEN_032";"Othsin";
"NAMESET_DWARVEN_033";"Enôr";
"NAMESET_DWARVEN_034";"Fer";
"NAMESET_DWARVEN_035";"Dolush";
"NAMESET_DWARVEN_036";"Ermis";
"NAMESET_DWARVEN_037";"Åblel";
"NAMESET_DWARVEN_038";"Agêk";
"NAMESET_DWARVEN_039";"Ucat";
"NAMESET_DWARVEN_040";"Ethbesh";
"NAMESET_DWARVEN_041";"Nïng";
"NAMESET_DWARVEN_042";"Emär";
"NAMESET_DWARVEN_043";"Shalig";
"NAMESET_DWARVEN_044";"Suthmam";
"NAMESET_DWARVEN_045";"Ugath";
"NAMESET_DWARVEN_046";"Udir";
"NAMESET_DWARVEN_047";"Bemòng";
"NAMESET_DWARVEN_048";"Tegir";
"NAMESET_DWARVEN_049";"Nug";
"NAMESET_DWARVEN_050";"Dudgoth";
"NAMESET_DWARVEN_051";"Ogîk";
"NAMESET_DWARVEN_052";"Robek";
"NAMESET_DWARVEN_053";"Ilush";
"NAMESET_DWARVEN_054";"Berim";
"NAMESET_DWARVEN_055";"Emuth";
"NAMESET_DWARVEN_056";"Sedil";
"NAMESET_DWARVEN_057";"Izeg";
"NAMESET_DWARVEN_058";"Okab";
"NAMESET_DWARVEN_059";"Anam";
"NAMESET_DWARVEN_060";"Girtol";
"NAMESET_DWARVEN_061";"Etäg";
"NAMESET_DWARVEN_062";"Stalkòb";
"NAMESET_DWARVEN_063";"Enir";
"NAMESET_DWARVEN_064";"Tosid";
"NAMESET_DWARVEN_065";"Ím";
"NAMESET_DWARVEN_066";"Lisig";
"NAMESET_DWARVEN_067";"Stal";
"NAMESET_DWARVEN_068";"Mafol";
"NAMESET_DWARVEN_069";"Onshen";
"NAMESET_DWARVEN_070";"Äs";
"NAMESET_DWARVEN_071";"Sidos";
"NAMESET_DWARVEN_072";"Sid";
"NAMESET_DWARVEN_073";"Thîkut";
"NAMESET_DWARVEN_074";"Gòstang";
"NAMESET_DWARVEN_075";"Idek";
"NAMESET_DWARVEN_076";"Themor";
"NAMESET_DWARVEN_077";"Lurak";
"NAMESET_DWARVEN_078";"Gost";
"NAMESET_DWARVEN_079";"Namàsh";
